Name,Weightclass,Link,Placing,Name,YOB,Team,State,Weight,Squat1,Squat2,Squat3,Bench press1,Bench press2,Bench press3,Deadlift1,Deadlift2,Deadlift3,Total,Points,Drug tested
Sophia Darawal,-72,lifters-view?id=40328,1.,Sophia Darawal,2004,,CA,70.37,80,87.5,-97.5,-42.5,45,-50,95,105,112.5,245,242.84,
Sandra Tran,-43,lifters-view?id=15773,1.,Sandra Tran,1995,,CO,36.99,77.5,82.5,85,42.5,45,47.5,97.5,,,230,343.53,
Allegra Hudson,-47,lifters-view?id=26843,1.,Allegra Hudson,1994,GATA Barbell,TX,46.59,110,117.5,-122.5,62.5,67.5,-70,137.5,147.5,-152.5,332.5,450.01,
Nicole Nguyen,-47,lifters-view?id=29843,2.,Nicole Nguyen,1994,,CA,46.07,110,117.5,-122.5,55,57.5,-60,130,137.5,142.5,317.5,433.13,
Gabrielle Polanco,-47,lifters-view?id=29935,3.,Gabrielle Polanco,1993,,TX,46.52,95,100,105,55,62.5,-67.5,122.5,132.5,142.5,310,419.99,
Emily Ho,-47,lifters-view?id=27850,2.,Emily Ho,1995,,NJ,46.09,112.5,117.5,-122.5,60,65,67.5,112.5,120,-122.5,305,415.96,
Tiffany Nguyen,-47,lifters-view?id=31733,5.,Tiffany Nguyen,1994,,TX,46.40,102.5,-107.5,112.5,52.5,55,-60,117.5,125,-135,292.5,397.01,
Marilu Solares,-47,lifters-view?id=32954,6.,Marilu Solares,1995,,MD,46.24,105,-112.5,-112.5,57.5,60,-62.5,122.5,-132.5,-132.5,287.5,391.20,
Alyssa Mirasol,-52,lifters-view?id=30164,1.,Alyssa Mirasol,1994,Squats & Science,NY,51.15,117.5,-125,125,60,65,-67.5,150,160,166.5,356.5,450.12,
Allison Vick,-52,lifters-view?id=30496,6.,Allison Vick,1994,Squats & Science,WA,50.75,122.5,127.5,-130,62.5,65,-67.5,137.5,-150,162.5,355,450.92,
Jenny Lee,-52,lifters-view?id=30790,3.,Jenny Lee,1994,Breed Elite Powerlifting,CA,51.63,125,132.5,-142.5,75,80,-85,132.5,142.5,-150,355,444.99,
Sophia Rizzuto,-52,lifters-view?id=24794,4.,Sophia Rizzuto,1996,Flexx Training Systems,NJ,50.91,110,117.5,122.5,67.5,72.5,75,125,132.5,140,337.5,427.65,
Rachael Bielmeier,-52,lifters-view?id=40146,5.,Rachael Bielmeier,1994,,NY,51.05,110,117.5,125,62.5,67.5,-72.5,132.5,142.5,-147.5,335,423.61,
Kayla Johnson,-52,lifters-view?id=16455,6.,Kayla Johnson,1995,,NC,51.57,110,115,-120,-67.5,70,75,117.5,122.5,-127.5,312.5,392.06,
Valeria Martinez,-52,lifters-view?id=38589,7.,Valeria Martinez,1995,,CA,51.97,-102.5,-105,105,45,50,-55,127.5,137.5,145,300,374.16,
Nicole Yu,-52,lifters-view?id=27849,22.,Nicole Yu,1994,,NJ,47.02,97.5,105,112.5,42.5,47.5,50,117.5,125,-130,287.5,386.54,
Carley Camarotti,-52,lifters-view?id=41151,9.,Carley Camarotti,1996,,FL,50.77,102.5,107.5,-112.5,55,-60,-60,110,117.5,-125,280,355.54,
Vialeta Kudrevich,-52,lifters-view?id=33668,10.,Vialeta Kudrevich,1995,,CO,47.55,90,95,-97.5,65,67.5,-70,107.5,-112.5,-112.5,270,360.07,
KIRSTY FLORES,-57,lifters-view?id=33205,1.,KIRSTY FLORES,1994,Squats & Science,NJ,56.41,127.5,135,-140,65,70,72.5,150,160,165,372.5,435.79,X
Sam Kroll,-57,lifters-view?id=26153,2.,Sam Kroll,1997,,WI,56.79,95,102.5,107.5,70,77.5,80,130,140,-147.5,327.5,381.14,
Contessa Lai,-57,lifters-view?id=29740,3.,Contessa Lai,1994,,NJ,56.10,107.5,115,-120,57.5,60,62.5,132.5,140,145,322.5,378.94,
Tiffany Ma,-57,lifters-view?id=40349,4.,Tiffany Ma,1994,,NY,56.64,110,115,120,60,62.5,-67.5,117.5,125,132.5,315,367.35,
Tessa Yannone,-57,lifters-view?id=36106,5.,Tessa Yannone,1994,,OH,55.02,100,105,-107.5,55,60,-62.5,127.5,135,142.5,307.5,366.85,
ANNA YANG,-57,lifters-view?id=37524,6.,ANNA YANG,1995,,MD,56.02,112.5,120,-125,47.5,50,52.5,127.5,-135,135,307.5,361.71,
Simine Pourtadayoun,-57,lifters-view?id=40291,7.,Simine Pourtadayoun,1993,,FL,54.26,115,125,-135,55,-62.5,-62.5,125,-137.5,-137.5,305,367.86,
Emily Celli,-57,lifters-view?id=32847,8.,Emily Celli,1994,,PA,56.97,92.5,100,102.5,47.5,50,52.5,127.5,137.5,142.5,297.5,345.37,
Laura Finot,-57,lifters-view?id=28018,9.,Laura Finot,1994,GET THE LIFT,MD,56.77,95,100,105,50,52.5,-55,122.5,132.5,135,292.5,340.50,
Jemimah DeCastro,-57,lifters-view?id=39747,-,Jemimah DeCastro,1997,,FL,53.77,-107.5,-107.5,-107.5,50,57.5,62.5,-117.5,117.5,-125,0,0.00,
Hillary Pham,-57,lifters-view?id=37888,-,Hillary Pham,1993,,MD,56.98,-105,-110,-110,50,-52.5,52.5,132.5,140,142.5,0,0.00,
Gabrielle Mamani,-63,lifters-view?id=25168,6.,Gabrielle Mamani,1994,Reactive Training Systems,VA,62.49,142.5,150,157.5,80,85,87.5,187.5,197.5,-207.5,442.5,478.17,X
Solana Lewis,-63,lifters-view?id=35247,8.,Solana Lewis,1996,,NJ,61.92,145,152.5,-160,67.5,70,72.5,177.5,187.5,-192.5,412.5,448.88,
Arthi Nithi,-63,lifters-view?id=30584,10.,Arthi Nithi,1996,,GA,62.87,137.5,-147.5,152.5,70,75,80,147.5,162.5,172.5,405,435.62,X
Megan Melendez,-63,lifters-view?id=30596,4.,Megan Melendez,1996,,FL,62.05,142.5,147.5,-150,67.5,70,72.5,160,172.5,177.5,397.5,431.84,
Ariel Crumes,-63,lifters-view?id=29778,5.,Ariel Crumes,1997,,MI,61.61,142.5,152.5,-155,-70,70,72.5,170,-182.5,-182.5,395,431.50,
Ashley Bogan,-63,lifters-view?id=24271,6.,Ashley Bogan,1995,Flexx Training Systems,MI,61.45,127.5,135,140,67.5,72.5,75,160,170,172.5,387.5,424.12,
Rachel Gody,-63,lifters-view?id=33567,7.,Rachel Gody,1994,Warhouse Gym,PA,60.28,125,132.5,140,80,85,92.5,137.5,145,152.5,385,427.70,
Abigail Looi,-63,lifters-view?id=35646,8.,Abigail Looi,1995,Flexx Training Systems,CA,63.00,130,140,-145,65,72.5,-75,150,162.5,167.5,380,408.12,
Alicia Saleh,-63,lifters-view?id=24795,38.,Alicia Saleh,1994,,NY,62.01,130,132.5,140,67.5,75,80,130,142.5,150,370,402.19,
Autumn Herried,-63,lifters-view?id=2158,10.,Autumn Herried,1995,,WI,62.26,130,137.5,-145,80,87.5,90,125,132.5,142.5,370,400.93,
Shannon Chipman,-63,lifters-view?id=23505,42.,Shannon Chipman,1993,Squats & Science,MA,61.84,127.5,135,137.5,65,70,-72.5,142.5,152.5,157.5,365,397.59,X
Ann Marie Bremmer,-63,lifters-view?id=41249,44.,Ann Marie Bremmer,1996,,IN,62.18,117.5,125,132.5,72.5,80,-87.5,142.5,-147.5,147.5,360,390.49,
Justina Cositore,-63,lifters-view?id=40437,13.,Justina Cositore,1994,Squats & Science,MA,61.72,120,127.5,130,77.5,80,-82.5,125,135,-137.5,345,376.36,
Kelsey Jordan,-63,lifters-view?id=30803,14.,Kelsey Jordan,1996,Breed Elite Powerlifting,PA,61.94,112.5,120,-125,62.5,-67.5,67.5,150,155,-162.5,342.5,372.61,
Aubrey Lyons,-63,lifters-view?id=2781,70.,Aubrey Lyons,1996,,OH,62.39,115,-125,-125,55,60,62.5,155,-170,-170,332.5,359.73,
Sarah Jones,-63,lifters-view?id=16163,16.,Sarah Jones,1993,,VA,57.55,112.5,120,127.5,60,65,70,122.5,130,-135,327.5,377.18,
Alexas McBride,-63,lifters-view?id=40350,17.,Alexas McBride,1996,,NY,61.80,105,112.5,122.5,57.5,62.5,-67.5,122.5,132.5,-142.5,317.5,346.01,
Maria Soprunova,-63,lifters-view?id=34547,18.,Maria Soprunova,1994,,OH,62.43,110,115,-120,62.5,67.5,-70,125,130,135,317.5,343.34,
April Purvis,-63,lifters-view?id=25482,-,April Purvis,1996,Team Carolina,NC,58.84,132.5,-140,-140,65,-70,70,-145,-145,-145,0,0.00,
Hannah Mathie,-63,lifters-view?id=17250,-,Hannah Mathie,1996,,MI,61.20,127.5,132.5,142.5,67.5,72.5,-77.5,-147.5,-147.5,-147.5,0,0.00,X
Sarah Zastrow,-63,lifters-view?id=36248,-,Sarah Zastrow,1994,,WI,62.43,-145,-157.5,-157.5,70,72.5,75,155,160,167.5,0,0.00,
