Comp ID,Date,Name,Sanction #,State,Results,Homepage
competitions-view?id=1824,11/19/2017,Quad City Iron Thriller,IA-2017-06,Iowa,,
competitions-view?id=1818,11/18/2017,2017 RMLC Championships,CO-2017-05,Colorado,,
competitions-view?id=1819,11/18/2017,Long Island Gobbler Open,NY-2017-14,New York,,
competitions-view?id=1827,11/18/2017,Trojan Iron Wars,WY-2017-04,Wyoming,,
competitions-view?id=1823,11/13/2017,IPF Open World Championships,IPF,,,
competitions-view?id=1810,11/12/2017,2017 New Jersey Iron Gobbler,NJ-2017-02,New Jersey,,
competitions-view?id=1817,11/12/2017,2017 Raw Collegiate Cup,MA-2017-05,Massachusetts,,
competitions-view?id=1805,11/11/2017,Rio Grande Valley Fall Classic,TX-2017-16,Texas,,
competitions-view?id=1806,11/11/2017,Champion's Fall Classic,MN-2017-11,Minnesota,,
competitions-view?id=1807,11/11/2017,Savage Open,GA-2017-07,Georgia,,
competitions-view?id=1812,11/11/2017,Boss of Norcal 5,CA-2017-05,California,,
competitions-view?id=1813,11/11/2017,The Beast of the Metro East 2017,IL-2017-09,Illinois,,
competitions-view?id=1814,11/11/2017,Arizona 2017 Fall Classic,AZ-2017-06,Arizona,,
competitions-view?id=1815,11/11/2017,Salute to Service,NY-2017-12,New York,,
competitions-view?id=1816,11/11/2017,Winter Wars 2017,ID-2017-05,Idaho,,
competitions-view?id=1801,11/05/2017,2017 No Frills Midwest Collegiate Cup,OH-2017-08,Ohio,,
competitions-view?id=1811,11/05/2017,Pittsburgh Raw Open,PA-2017-18,Pennsylvania,,
competitions-view?id=1798,11/04/2017,2017 Michigan Teen Meet,MI-2017-12,Michigan,,
competitions-view?id=1799,11/04/2017,Ivy League Championships II,NY-2017-15,New York,,
competitions-view?id=1804,11/04/2017,Eau Claire Open,WI-2017-15,Wisconsin,,
competitions-view?id=1808,11/04/2017,Fall Festival of Power,NC-2017-03,North Carolina,,
competitions-view?id=1797,10/29/2017,2017 Delaware Fall Classic,DE-2017-02,Delaware,,
competitions-view?id=1795,10/28/2017,Tundra Rumble,AK-2017-12,Alaska,,
competitions-view?id=1802,10/28/2017,Finger Lakes Championships,NY-2017-13,New York,,
competitions-view?id=1803,10/28/2017,New England Showdown,CT-2017-04,Connecticut,,
competitions-view?id=1796,10/27/2017,2017 SBWC Fall Classic,NY-2017-05,New York,,
competitions-view?id=1825,10/27/2017,2017 NAPF Bench Press Championship,NAPF,,,
competitions-view?id=1794,10/22/2017,Team Phoinix Halloween Havoc,WA-2017-07,Washington,,
competitions-view?id=1792,10/21/2017,Noonan Barbell Raw Open,MN-2017-10,Minnesota,,
competitions-view?id=1793,10/21/2017,2017 Michigan Iron Monger,MI-2017-11,Michigan,,
competitions-view?id=1790,10/21/2017,Power on the Platte,NE-2017-05,Nebraska,,
competitions-view?id=1782,10/14/2017,2017 Philadelphia Fall Championship,PA-2017-14,Pennsylvania,,
competitions-view?id=1791,10/14/2017,2017 Muscle Beach Powerlifting Classic,TX-2017-08,Texas,,
competitions-view?id=1776,10/10/2017,2017 Raw National Championships,NS-2017-02,Florida,,
competitions-view?id=1781,10/07/2017,Humanity Open,CA-2017-10,California,,
competitions-view?id=1822,10/01/2017,World Masters Championships,IPF,,,
competitions-view?id=1774,09/30/2017,2017 Morey Mayhem BarBellum,MI-2017-04,Michigan,,
competitions-view?id=1775,09/30/2017,9th Annual Iron Wars,TX-2017-12,Texas,,
competitions-view?id=1777,09/30/2017,2017 Solcana Novice Meet,MN-2017-09,Minnesota,,
competitions-view?id=1778,09/30/2017,14th Annual Florida Collegiate Championships,FL-2017-08,Florida,,
competitions-view?id=1779,09/30/2017,2017 Anthracite Open,PA-2017-16,Pennsylvania,,
competitions-view?id=1780,09/30/2017,CT Bench Press Against Breast Cancer,CT-2017-07,Connecticut,,
competitions-view?id=1784,09/30/2017,Western Wisconsin Open,WI-2017-12,Wisconsin,,
competitions-view?id=1770,09/24/2017,2017 New Jersey Heavy Metal Classic,NJ-2017-04,New Jersey,,
competitions-view?id=1769,09/23/2017,2017 Michigan Rookie Rumble,MI-2017-09,Michigan,,
competitions-view?id=1771,09/23/2017,Apeman Strong Fest,AZ-2017-07,Arizona,,
competitions-view?id=1773,09/23/2017,Phoenix Taskforce Powerlifting Festival,NH-2017-02,New Hampshire,,
competitions-view?id=1766,09/17/2017,Supertotal Weekend,KY-2017-02,Kentucky,,
competitions-view?id=1763,09/16/2017,Pure Fitness Open Fall,WI-2017-16,Wisconsin,,
competitions-view?id=1764,09/16/2017,2017 Spokane,WA-2017-06,Washington,,
competitions-view?id=1765,09/16/2017,Kansas Klassic,KS-2017-02,Kansas,,
competitions-view?id=1767,09/16/2017,2nd Annual Colorado Fall Open,CO-2017-04,Colorado,,
competitions-view?id=1768,09/16/2017,Powerlifting For Pups,GA-2017-08,Georgia,,
competitions-view?id=1772,09/16/2017,Deadlift & Push Pull Nationals,NS-2017-08,Pennsylvania,,
competitions-view?id=1756,09/10/2017,2017 Virginia Last Chance Qualifier,VA-2017-04,Virginia,,
competitions-view?id=1757,09/10/2017,2017 Lehigh Valley Championships,PA-2017-13,Pennsylvania,,
competitions-view?id=1761,09/10/2017,2017 Whippany Athletic Club Fall Power Fest,NJ-2017-05,New Jersey,,
competitions-view?id=1754,09/09/2017,Connecticut Fall Classic,CT-2017-05,Connecticut,,
competitions-view?id=1755,09/09/2017,2017 CBUS Lifting Co Fall Classic,OH-2017-04,Ohio,,
competitions-view?id=1758,09/09/2017,Charm City Classic,MD-2017-06,Maryland,,
competitions-view?id=1759,09/09/2017,2017 Benchpress Nationals,NS-2017-07,Texas,,
competitions-view?id=1762,09/09/2017,Santa Cruz Strength Fall Classic,CA-2017-09,California,,
competitions-view?id=1748,09/03/2017,Florida Last Chance Qualifier,FL-2017-07,Florida,,
competitions-view?id=1752,09/03/2017,2017 New Orleans Invitational,LA-2017-04,Louisiana,,
competitions-view?id=1749,09/02/2017,2017 El Paso Iron Open,TX-2017-15,Texas,,
competitions-view?id=1750,09/02/2017,2017 Central Region Championship,RG-2017-03,Minnesota,,
competitions-view?id=1821,08/28/2017,World Juniors & Sub-Juniors Championships,IPF,Florida,,
competitions-view?id=1737,08/27/2017,Bring A Volunteer Last Minute Qualifier,GA-2017-09,Georgia,,
competitions-view?id=1741,08/27/2017,Last Chance Qualifier 2017,MO-2017-02,Missouri,,
