Name,Weightclass,Link,Placing,Name,YOB,Team,State,Weight,Squat1,Squat2,Squat3,Bench press1,Bench press2,Bench press3,Deadlift1,Deadlift2,Deadlift3,Total,Points,Drug tested
Ashley Will,-52,lifters-view?id=2047,1.,Ashley Will,1994,,,51.80,102.5,-107.5,-107.5,42.5,45,47.5,105,110,-112.5,260,325.10,
Shelby Sweat,-52,lifters-view?id=6121,5.,Shelby Sweat,1991,,,50.30,67.5,80,-85,40,-45,-45,95,102.5,110,230,294.12,
Laura McGuill,-57,lifters-view?id=22585,3.,Laura McGuill,1991,,,56.30,112.5,120,125,52.5,57.5,62.5,140,150,-155,337.5,395.45,
Elaine Wang,-57,lifters-view?id=4904,2.,Elaine Wang,1991,,,56.90,100,110,-117.5,55,60,-65,-120,120,132.5,302.5,351.51,
Carol Champion,-57,lifters-view?id=3206,3.,Carol Champion,1993,,,56.00,-67.5,70,77.5,50,-55,-55,100,110,117.5,245,288.27,
Alice Zheng,-63,lifters-view?id=2051,1.,Alice Zheng,1992,,,62.70,125,130,-135.5,-62.5,62.5,70,142.5,150,-170,350,377.27,
Erin Stevenson,-63,lifters-view?id=10200,2.,Erin Stevenson,1993,,,61.70,120,127.5,-132.5,75,-82.5,-82.5,125,137.5,145,347.5,379.16,
Leanna Carr,-63,lifters-view?id=8379,4.,Leanna Carr,1991,,,62.50,127.5,135,-140,60,62.5,-65,137.5,150,-160,347.5,375.47,
Ewa Januszkiewicz,-63,lifters-view?id=4748,8.,Ewa Januszkiewicz,1991,,,61.20,97.5,107.5,115,55,60,62.5,142.5,152.5,162.5,340,373.32,
Chelsea Karabin,-63,lifters-view?id=2058,14.,Chelsea Karabin,1993,,,62.20,-95,97.5,-102.5,62.5,65,-70,112.5,122.5,-125,285,309.05,
Mikelina Belaineh,-72,lifters-view?id=26782,2.,Mikelina Belaineh,1991,SSPT,,70.30,140,150,155,80,82.5,85,175,187.5,-192.5,427.5,424.04,
Tiffany Wohlers,-72,lifters-view?id=2059,3.,Tiffany Wohlers,,,,72.00,137.5,142.5,150,80,85,-90,-175,175,185,420,409.92,
Chelsea Savit,-72,lifters-view?id=4168,4.,Chelsea Savit,1991,,,70.40,135,148,152.5,85,92.5,95,155,170,-182.5,417.5,413.74,
Haley Kavelak,-72,lifters-view?id=2038,8.,Haley Kavelak,1990,,,68.60,117.5,132.5,142.5,70,77.5,-82.5,152.5,170,,390,393.51,
Hannah Ghindea,-72,lifters-view?id=5223,21.,Hannah Ghindea,1992,,,68.30,100,107.5,-115,57.5,62.5,65,137.5,150,157.5,330,333.99,
Alex Ballard,-72,lifters-view?id=5457,6.,Alex Ballard,1990,,,68.50,125,-130,130,50,55,60,140,-150,-150,330,333.30,
Lauren Shortell,-72,lifters-view?id=4749,25.,Lauren Shortell,1991,,,64.90,72.5,80,85,52.5,57.5,60,120,132.5,140,285,299.34,
Stephanie Mahan,-84,lifters-view?id=5889,1.,Stephanie Mahan,1992,SSPT,,83.60,127.5,137.5,-142.5,65,70,75,137.5,147.5,157.5,370,330.74,
Jenny Nocas,-84,lifters-view?id=5890,2.,Jenny Nocas,1993,SSPT,,79.50,117.5,125,-132.5,72.5,77.5,80,135,145,155,360,330.55,
Kelli Lowenburg,-43,lifters-view?id=2061,2.,Kelli Lowenburg,,,,42.90,65,70,-75,30,-32.5,,100,105,107.5,207.5,297.06,
Joanna Welsh,-47,lifters-view?id=2062,1.,Joanna Welsh,1972,SSPT,,46.40,85,92.5,95,55,-57.5,57.5,125,132.5,-137.5,285,386.83,
Shannan D'Annunzio,-57,lifters-view?id=8376,9.,Shannan D'Annunzio,1971,,,56.50,75,85,-90,55,-60,60,105,117.5,122.5,267.5,312.55,
Theresa Ball,-57,lifters-view?id=5156,10.,Theresa Ball,1973,,,55.70,77.5,82.5,87.5,47.5,50,52.5,102.5,110,112.5,252.5,298.35,
Rhonda Winterhalter,-57,lifters-view?id=6238,12.,Rhonda Winterhalter,1972,,,55.60,-80,-80,-80,45,-50,-50,-85,85,90,0,0.00,
Jennifer Thompson,-63,lifters-view?id=455,1.,Jennifer Thompson,1973,,,61.50,130,142.5,-147.5,125,137.5,140,160,190,202.5,485,530.54,
Carrie Merscham,-63,lifters-view?id=6259,2.,Carrie Merscham,1971,,,60.90,67.5,72.5,77.5,40,42.5,45,85,92.5,100,222.5,245.22,
Priscilla Ribic,-72,lifters-view?id=397,1.,Priscilla Ribic,1972,,,71.80,150,,,100,,,182.5,,,432.5,422.94,
Sheryl Condon,-72,lifters-view?id=1260,7.,Sheryl Condon,1972,SSPT,,71.80,122.5,130,137.5,70,75,80,157.5,167.5,175,392.5,383.83,
Jennifer Kroken,-72,lifters-view?id=4171,12.,Jennifer Kroken,1974,,,71.00,122.5,137.5,142.5,67.5,75,77.5,132.5,147.5,-155,367.5,362.06,
Theresa Willis,-72,lifters-view?id=5321,4.,Theresa Willis,1970,,,64.10,90,97.5,102.5,50,55,-57.5,125,132.5,-140,290,307.43,
Beth Zellen,-72,lifters-view?id=4479,5.,Beth Zellen,1973,,,71.20,82.5,-87.5,-87.5,57.5,62.5,-67.5,120,127.5,135,280,275.35,
Sebrina Davis,-84,lifters-view?id=556,1.,Sebrina Davis,1970,,,75.20,165,-177.5,180,85,95,,192.5,202.5,210,485,460.31,
Alicia Webb,-84,lifters-view?id=558,2.,Alicia Webb,1971,,,81.80,182.5,-192.5,-192.5,85,92.5,97.5,180,185,190,470,424.88,
Gena Doyle,84+,lifters-view?id=6310,1.,Gena Doyle,1973,,,93.00,90,102.5,110,42.5,47.5,-52.5,120,130,140,297.5,253.77,
Shyami Murphy,-47,lifters-view?id=2072,3.,Shyami Murphy,1966,,,45.80,80,-85,85,40,42.5,-45,92.5,-97.5,97.5,225,308.23,
Suzanne Hartwig-Gary,-52,lifters-view?id=392,1.,Suzanne Hartwig-Gary,1968,SSPT,,51.60,132.5,142.5,147.5,67.5,72.5,-77.5,135,145,155,375,470.29,
Danna Snow,-57,lifters-view?id=8572,1.,Danna Snow,1969,,,56.00,85,90,92.5,67.5,72.5,-77.5,120,127.5,-135,292.5,344.16,
Cathy Mele,-57,lifters-view?id=2075,2.,Cathy Mele,1966,,,56.20,70,77.5,-82.5,52.5,55,-57.5,117.5,132.5,140.5,273,320.31,
Christine Hamp,-63,lifters-view?id=2076,1.,Christine Hamp,1967,,,61.30,100,107.5,112.5,70,-75,-77.5,117.5,122.5,137.5,320,350.91,
Joy Burg,-63,lifters-view?id=5066,2.,Joy Burg,1965,,,58.40,90,-95,-95,50,52.5,55,120,127.5,-132.5,272.5,310.27,
Melissa Benson,-72,lifters-view?id=3641,1.,Melissa Benson,1968,,,71.70,77.5,-85,85,50,52.5,-55,85,90,102.5,240,234.91,
Cathy Belben,-72,lifters-view?id=2472,2.,Cathy Belben,1967,Phoinix,,65.20,62.5,-65,67.5,47.5,52.5,57.5,92.5,92.5,100,225,235.51,
