Name,Weightclass,Link,Placing,Name,YOB,Team,State,Weight,Squat1,Squat2,Squat3,Bench press1,Bench press2,Bench press3,Deadlift1,Deadlift2,Deadlift3,Total,Points,Drug tested
Danielle Oliveri,-63,lifters-view?id=27318,-,Danielle Oliveri,1993,Squats & Science,PA,61.98,-135,-142.5,-147.5,-82.5,-85,-87.5,-142.5,-150,-155,0,0.00,Failure
Nick Mccouch,-83,lifters-view?id=31949,-,Nick Mccouch,1990,,GA,81.33,-215,-227.5,-235,-142.5,-1000,-150,-237.5,-265,-265,0,0.00,Failure
Christopher Thacker,-105,lifters-view?id=15420,-,Christopher Thacker,1977,Zia,IL,104.06,-280,-290,-295,-175,-180,-182.5,-270,-280,-280,0,0.00,Failure
Sydney Rivera,-52,lifters-view?id=30593,1.,Sydney Rivera,2003,,GA,51.30,67.5,72.5,77.5,35,40,-45,77.5,85,-90,202.5,255.09,
Sandra Tran,-43,lifters-view?id=15773,1.,Sandra Tran,1995,,CO,38.42,75,77.5,82.5,40,42.5,45,92.5,-95,-95,220,328.59,
Alyssa Mirasol,-47,lifters-view?id=30164,6.,Alyssa Mirasol,1994,Squats & Science,NY,47.00,102.5,110,-115,55,60,62.5,130,140,-155,312.5,420.28,
Marilu Solares,-47,lifters-view?id=32954,2.,Marilu Solares,1995,,MD,46.33,102.5,-107.5,-107.5,45,47.5,52.5,125,130,135,290,394.05,
Nicole Nguyen,-47,lifters-view?id=29843,3.,Nicole Nguyen,1994,,CA,45.91,97.5,102.5,107.5,45,47.5,-50,110,117.5,-122.5,272.5,372.67,
Gabrielle Polanco,-47,lifters-view?id=29935,4.,Gabrielle Polanco,1993,,TX,46.48,85,92.5,95,45,47.5,52.5,110,117.5,125,272.5,369.43,
Tam Nguyen,-47,lifters-view?id=24776,5.,Tam Nguyen,1995,,IN,44.62,80,87.5,-92.5,45,50,52.5,105,112.5,117.5,257.5,359.19,
Jenny Lee,-52,lifters-view?id=30790,5.,Jenny Lee,1994,Squats & Science,CA,51.25,127.5,135,140,67.5,72.5,75,127.5,-132.5,132.5,347.5,438.09,
Maranda Geist,-52,lifters-view?id=23120,12.,Maranda Geist,1993,,CA,51.05,110,117.5,120,57.5,62.5,67.5,127.5,135,-142.5,322.5,407.80,
